Rank,Name,Height,Weight,Rating,Votes,City,State,Country
365,Willie Mack,178,127,8.26,115,St. Louis, Missouri, USA
366,Wes Lee,175,86,8.26,52,Dayton, Ohio, USA
367,Chad Gable,173,92,8.26,261,Minneapolis, Minnesota, USA
368,Perro Aguayo Jr.,174,88,8.25,27,Mexico City, Distrito Federal, Mexiko
369,Velveteen Dream,188,103,8.25,225,Washington, District Of Columbia, USA
372,Chuck Taylor,188,95,8.24,270,Murray, Kentucky, USA
373,Isaiah Scott,185,91,8.24,138,Tacoma, Washington, USA
375,Roderick Strong,178,91,8.24,456,Eau Claire, Wisconsin, USA
376,Mike Awesome,193,134,8.23,195,Tampa, Florida, USA
377,Mickie James,162,55,8.23,494,Richmond, Virginia, USA
378,Jordan Devlin,178,83,8.23,128,Bray, County Wicklow, Ireland
380,Kane,208,147,8.23,1053,Madrid, Spanien,
381,Colt Cabana,185,103,8.23,332,Chicago, Illinois, USA
382,Fukigen Death,150,57,8.23,38,Zushi, Kanagawa, Japan
383,El Desperado,177,85,8.23,152,Nagaoka, Niigata, Japan
384,Ivelisse,165,54,8.22,101,Chicago, Illinois, USA
386,Steve Corino,185,107,8.22,173,Winnipeg, Manitoba, Canada
387,Tassilo Jung,190,90,8.22,82,Siegburg, Nordrhein-Westfalen, Deutschland
388,Bayley,170,54,8.22,488,Newark, California, USA
389,Mustafa Ali,178,78,8.21,180,Bolingbrook, Illinois, USA
390,T-Hawk,174,88,8.21,55,Tomakomai, Hokkaido, Japan
391,A-Kid,173,70,8.21,60,Madrid, Spanien,
392,Homicide,175,99,8.2,292,New York City, New York, USA
393,Candice LeRae,157,51,8.2,218,Winnipeg, Manitoba, Canada
394,Brody King,195,129,8.2,43,Van Nuys, California, USA
395,Taz,175,112,8.2,298,New York City, New York, USA
396,Dick Togo,170,90,8.2,75,Odate, Akita, Japan
397,Utami Hayashishita,166,65,8.2,117,Amami, Kagoshima, Japan
400,Laredo Kid,172,90,8.18,43,Nuevo Laredo, Tamaulipas, Mexiko
401,DASH Chisako,151,56,8.18,32,Sendai, Miyagi, Japan
402,Reckoning,170,60,8.18,113,Fontana, California, USA
404,Darby Allin,173,78,8.17,214,Seattle, Washington, USA
406,Karsten Kretschmer,182,103,8.16,106,Hamburg, Deutschland,
408,Volador Jr.,175,87,8.16,61,Monclova, Coahuila, Mexiko
409,Dalton Castle,180,99,8.16,122,Albany, New York, USA
410,Kotaro Suzuki,170,86,8.15,73,Warabi, Saitama, Japan
411,Jimmy Hart,178,75,8.14,155,Jackson, Mississippi, USA
412,Jesus Rodriguez,180,98,8.14,89,Van Nuys, California, USA
413,Lance Storm,180,107,8.13,259,Sarnia, Ontario, Canada
414,Matt Silva,178,93,8.13,220,Melbourne, Victoria, Australia
415,Natalya,165,61,8.13,547,Calgary, Alberta, Canada
416,Matt Sydal,175,75,8.12,558,St. Louis, Missouri, USA
417,Masakatsu Funaki,182,84,8.12,25,Hirosaki, Aomori, Japan
418,Tully Blanchard,180,109,8.12,94,Calgary, Alberta, Canada
419,Daisuke Sasaki,168,80,8.12,41,Tokyo, Japan,
421,El Barbaro Cavernario,172,88,8.11,43,Zapopan, Jalisco, Mexiko
422,Aero Star,169,68,8.11,73,Mexico City, Distrito Federal, Mexiko
423,Brock Lesnar,193,121,8.1,1018,Webster, South Dakota, USA
424,Brian Cage,183,120,8.1,235,Chico, California, USA
425,Masanobu Fuchi,183,105,8.1,39,Kitakyushu, Fukuoka, Japan
426,Titan,169,84,8.09,32,Guadalajara, Jalisco, Mexiko
427,Mark Briscoe,183,104,8.09,190,Salisbury, Maryland, USA
428,Munenori Sawa,174,80,8.09,32,Tokyo, Japan,
430,Dax Harwood,178,101,8.09,149,Whiteville, North Carolina, USA
431,SHO,173,93,8.09,127,Uwajima, Ehime, Japan
432,Road Warrior Hawk,191,125,8.07,146,Minneapolis, Minnesota, USA
433,Katarina Leigh,175,64,8.07,162,Lüneburg, Niedersachsen, Deutschland
434,Absolute Andy,190,125,8.07,234,Nürnberg, Bayern, Deutschland
435,Eddie Kingston,180,109,8.07,256,Yonkers, New York, USA
